,Rating,Star,Price
Timehouse (Hong Kong Hostel Group),7.7,1,666
Hotel COZi Harbour View,7.6,4,1312
L'hotel Island South,7.8,4,2301
JJ Hotel,7.9,3,1554
Shama Island North,8.3,4,1836
Fuji Hostel,7.6,1,
Tai O Heritage Hotel,8.1,4,3255
"pentahotel Hong Kong, Tuen Mun",8.1,4,1070
L'hotel Nina et Convention Centre,7.6,5,1550
Soso Hostel,8.1,1,759
Novotel Citygate Hong Kong,8.6,4,2104
Hong Kong Inn,7.6,1,678
Shama Central,8.1,4,3693
Ramada Hong Kong Harbour View,6.5,4,1686
Harbour Plaza North Point,7.9,4,
Harbour Plaza Resort City,7.7,4,2152
The Royal Pacific Hotel & Towers,8.1,4,3288
Piaget Hotel,7.4,1,
Sweet Heart Guest House,6.7,1,571
First Inn,,1,
YHA Mei Ho House Youth Hostel,8.5,3,
The Empire Hotel Kowloon - Tsim Sha Tsui,7.7,4,
Soravit on Granville,8.3,4,
Popway Hotel,8.2,4,2259
Tong Luo Wan Hostel,6.8,1,516
Dash Hotel on Minden,8.9,3,1476
i-Hostel (Cameron Road),8.2,1,
Y Loft,7.8,3,1348
City Oasis Guesthouse,9.2,1,
Auberge Discovery Bay Hong Kong,8.5,4,1819
China (HK) Hotel,7.2,1,
Just Inn On Nathan Road,7.8,1,
Ocean Inn,8.7,1,
Wah Long Hotel,7.4,1,805
Hotel Hart,8.0,4,2781
Qian Yue Inn,,1,428
Welcome Inn,7.2,1,1611
Novotel Nathan Road Kowloon,8.1,4,2510
Hotel COZi Wetland,7.8,4,1376
Gold Star Hotel,4.0,1,850
Hop Inn on Mody,8.6,1,
Urban Pack,8.0,1,
Mojo Nomad Aberdeen Harbour,8.8,3,
eLog Inn - Fest,8.0,1,
Wing Wah Hostel,4.8,1,
Grandeur Holiday Hotel,7.7,1,
Hong Kong Gold Coast Hotel,8.1,5,1842
Wanchai 88,8.4,4,2673
Largos Hotel,7.4,3,1939
Casa Deluxe Hotel,7.8,3,1659
"The Murray, Hong Kong, a Niccolo Hotel",9.0,5,5795
Brighton Hotel Hong Kong,7.6,4,2951
The Pottinger Hong Kong,8.8,5,
The Ten Hotel,7.4,3,
Holiday Guest House,7.6,1,
Hakkas Guesthouse,8.7,1,693
The BEACON,9.0,3,
Island Pacific Hotel,8.2,4,2135
The Mahjong,8.7,1,
Ibis North Point,7.5,3,1307
iclub Mong Kok Hotel,,4,
Mini Hotel Causeway Bay,7.4,3,1333
Residence G Hong Kong - by Hotel G,7.8,4,1866
Xi Hu Hotel,6.3,1,
Silka Far East Hotel,6.8,3,2195
Day and Night Hotel,6.0,1,778
Hang Fung Hostel,8.4,1,
City Garden Hotel,7.9,4,1683
Yesinn @YMT,7.9,2,
mini hotel Central,7.0,3,1333
Kingdom Guest House,7.4,1,
Pearl House 3 Bedroom,,,
Hong Kong Hostel,7.2,1,666
The House (Baguio),7.6,1,737
G Loft,6.7,1,476
The Perkin Hotel,8.8,4,2953
Wai Wah Guesthouse,7.5,1,
Burlington Hotel,8.5,4,1932
Le Prabelle Hotel,8.3,4,1488
Park Guest House (Hai Phong Mansion),7.2,1,
Xiao Zhuo Apartment,,,
The Cove Hostel - Tong Fuk Dolphin,7.4,1,584
Traveler,,,
Guangdong Guest House,7.4,1,
Global Holiday Home,6.0,1,
Taj Super Deluxe,7.9,1,
Lee Garden Guest House,7.9,1,519
"Dorsett Kwun Tong, Hong Kong",8.0,4,
Grand City Hotel,7.3,4,4394
Euro Hostel,6.5,1,1132
New China Guesthouse,6.0,1,
Pandora After 80s,7.1,2,
Check Inn HK,7.8,1,
AKVO Hotel,8.5,3,
Noble Park Hotel,7.1,3,966
Everest Guest House (3/F),6.3,1,787
Lap Shun Hostel,8.8,1,
Hotel Madera Hong Kong,8.2,4,4003
Temple Street Hotel,6.1,1,815
"Silka Tsuen Wan, Hong Kong",7.3,4,1809
Hotel Ease Access Tsuen Wan,7.3,4,2658
Sun Guest House,7.2,1,801
Ho Yuen Hotel,6.6,1,547
Zodiac lodge,7.6,1,1118
Pacific Lodge,,1,
Aries Guest House,5.9,1,
Shamrock Hotel,8.6,3,1993
Cruise Hotel,5.6,3,5370
Hotel Skystar,6.8,1,
Shanghai Hung Tak Apartment,7.7,1,604
Reliance Inn,6.4,1,708
Micro Hotel,6.3,1,
London Guest House,8.7,1,
Xi Hotel,7.8,3,2008
Dragon Hostel Hong Kong,7.7,1,637
Hotel Ease Tsuen Wan,8.0,4,2658
Li Cheng Guesthouse,7.9,1,939
Hotel Skylark,6.3,1,
Oriental Lander Hotel,6.9,3,1231
